,OBJID,RA_PSEUDOHOST,DEC_PSEUDOHOST,Z,ZERR,ZWARN,DELTACHI2,SPECTYPE
1997,A202105181425400m014751,216.4169788565522,-1.7974531688406528,,,,,
1998,A202105181444013m024326,221.00044582246176,-2.7311892736874137,,,,,
1999,A202104061433546p024723,218.48218087917093,2.7994587183550097,,,,,
2000,A202103221437113m015135,219.29734628825588,-1.8599704254777287,0.284592574556148,7.31644023809135e-06,0,5862.81948339939,GALAXY
2001,A202105121444068p010042,221.0286593212415,1.0117147281230985,0.279917637314188,6.8585081221616e-05,0,197.771706183441,GALAXY
2002,A202103221456054m015347,224.02252786336592,-1.8965220277176345,0.399758782781839,8.12080559518713e-05,0,1263.99012192525,QSO
2003,A202103221455543p022352,223.9762341984157,2.397836643196511,2.12637418587906,0.000349587125572974,0,270.45447229594,QSO
2004,A202103221452234p001407,223.0910734380313,0.2442882150462424,,,,,
2005,A202106021449566m000139,222.50218649337637,-0.0380491788344147,,,,,
2006,T202103221404394p014626,211.18643416800484,1.7857971105872594,,,,,
2007,T202104151445431p000727,221.42851765779693,0.122970646093178,0.292860811011856,9.73625563966066e-05,0,440.775851139799,GALAXY
2008,T202104061452593m013841,223.2604062874809,-1.6428089865374715,,,,,
2009,A202104091409511m031427,212.45513215265632,-3.253397627761367,,,,,
2010,A202103221422076m033310,215.5319080033192,-3.552842423916509,,,,,
2011,A202104091447221p022044,221.84231829733312,2.3457624847070258,,,,,
2012,T202104121410119m034510,212.5527928474752,-3.763038198376352,,,,,
2013,T202103221428334m002737,217.1382807115379,-0.4723661188077092,,,,,
2014,T202105181435435m013453,218.9317812637667,-1.5885248413293749,,,,,
2015,T202104061415354p022335,213.89865931379725,2.392305101749049,,,,,
2016,A202103221446040p001624,221.51692869501173,0.2733677967105467,,,,,
2017,A202104091435169m011818,218.82263338211908,-1.3129487643784494,,,,,
2018,A202103221434559m032801,218.7332077179749,-3.46694088616322,0.23906804750545,3.48783124492615e-05,0,752.978678204119,QSO
2019,A202105181443520m010905,220.9589710741145,-1.154920696190775,,,,,
2020,T202104061452388p010034,223.16230344387304,1.0097400823420115,,,,,
2021,A202103221452545m035155,223.22738451439932,-3.8599497246222776,,,,,
2022,A202105301434350p033819,218.6366462533456,3.63413831870079,,,,,
